class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11
141,7,0,0,0,0,0,0,0,2,0
1,84,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0,0
0,0,0,37,0,0,0,0,0,0,0
0,0,0,0,15,0,0,0,0,0,0
0,0,0,0,0,20,0,0,0,0,0
0,0,0,0,0,0,14,0,0,0,0
0,0,0,0,0,0,0,59,0,0,0
0,0,0,0,0,0,0,0,39,0,4
1,0,0,0,0,0,0,0,0,153,0
0,0,0,0,0,0,0,0,0,0,20
126,4,0,0,0,0,0,0,0,3,0
6,84,0,0,0,0,0,0,0,0,0
0,0,11,0,0,0,0,0,0,0,0
0,0,0,36,0,0,0,0,0,0,0
0,0,0,0,12,0,0,0,0,0,0
0,0,0,1,2,23,0,0,0,0,0
0,0,0,0,0,4,13,0,0,0,0
0,0,0,0,0,0,0,58,0,0,0
0,0,0,0,0,0,0,0,43,0,0
3,0,0,0,0,0,0,0,0,149,0
0,0,0,0,0,0,0,0,0,0,25
110,15,0,0,0,0,0,0,0,0,0
0,95,0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0,0,0
0,1,0,29,0,0,0,0,0,1,0
0,0,0,0,22,0,0,0,0,0,0
0,0,0,0,0,17,0,0,0,0,0
0,0,0,0,0,0,12,0,0,0,0
0,0,0,0,0,0,0,46,0,0,0
0,0,0,0,0,0,0,0,56,0,0
4,1,0,0,0,0,0,0,0,161,0
0,0,0,0,0,0,0,2,1,0,25